Timestamp,Name,Age group,Nationality,Gender,What specific factors do you believe influence emotional well-being in your workplace? Please elaborate.,How do you currently perceive the effectiveness of technology in understanding and addressing emotional shifts at your workplace? Provide examples if possible.,"In your opinion, what improvements or features would you like to see in a technology designed to monitor emotional well-being in the workplace?","On a scale from 1 to 5, with 1 being strongly disagree and 5 being strongly agree, how well do you feel your workplace currently addresses employee emotional well-being?",Please rate your level of comfort with the idea of technology monitoring emotional shifts in the workplace,To what extent do you believe technology can positively impact workplace relationships by addressing emotional dynamics?,"Indicate your agreement with the statement: ""Current technology effectively captures and interprets the range of emotions experienced in the workplace"".",How satisfied are you with the support provided by your workplace in managing stress and emotional challenges?,To what degree do you think improved emotional monitoring can enhance overall workplace productivity?,Rate your level of interest in utilizing technology that provides personalized insights into managing your emotional well-being at work.,"Which emotional states, in your opinion, are most crucial to monitor for a comprehensive understanding of workplace well-being?",Which aspect of technology-assisted emotional well-being support would you find most beneficial?,How frequently would you prefer to receive feedback on your emotional well-being from a workplace technology?,"In your opinion, what potential challenges might arise from implementing technology for emotional well-being in the workplace?",Which department or role within your organization do you think would benefit most from technology-assisted emotional well-being support?
1/29/2024 14:13:36,,22-25,Malaysian,Male,"I think the workload is one of the factors that will affect my emotions become stress or happy, if the workload is heavy and within short dues, it will make me stress, else vice versa.",currently there is no technology on understanding our emotions changes in workplace,maybe a emotion recognition system to keep track of our emotions changes,2,1,4,1,2,5,5,Stress,Real-time feedback,Weekly,All of the above,Human Resources
1/29/2024 14:20:46,,26-29,Malaysian,Male,working environment,there is no technology in Malaysia company to trace employees' emotional changes while working.,maybe an emotional tracking system,1,1,5,2,1,5,5,Frustration,Real-time feedback,Weekly,All of the above,Human Resources
1/29/2024 14:29:47,,18-21,Malaysian,Male,"I think stress is directly related to the emotional well-being. The fear of not being able to deliver product by due date or inability to resolve problems in work contributes to stress which affects my emotion to be negative such as anxious, sad, frustrated, angry and so on.","Currently, the market lacks technology that addresses emotional shifts at workplace. It can only be shown through other biometric data such as blood pressure and heart rate that is inaccurate indicator for emotion.","I think a system that is able to track our emotional change, which is being updated and warn us constantly if the situation is concerning would be nice. The system needs to differentiate the emotions of users.",2,5,5,2,2,5,5,Stress,Real-time feedback,Daily,All of the above,All departments equally
1/29/2024 14:35:05,,22-25,Malaysian,Male,The operating system of workplace,Can find entertainment through technology ,Design a well emotional management system that can balance work and life,2,3,4,4,3,4,4,Stress,Real-time feedback,Weekly,Privacy concerns,Leadership/Management
1/29/2024 14:37:46,,18-21,Malaysian,Male,Happiness during work ,Do not have mature emotional shifts technology,Real time analysing personal emotions ,2,3,4,4,3,3,3,Happiness,Real-time feedback,Daily,Ethical considerations,Human Resources
1/29/2024 14:40:05,,18-21,Malaysian,Male,"I believe peer pressure and relationship between employees influences emotional well-being in workplace as human tend to socialize. If the relationship is not handled carefully, it may influence the employee emotional well-being.",No technologies are able to perceive emotional changes in workplace effectively. The company only asks employees to refer to psychologist consultations that are provided as benefit to employee only when they realize they have emotional shift.,An emotional shift tracker system can be developed using facial recognition to differentiate employee emotion and suggest follow up actions.,2,5,4,2,3,5,5,Frustration,Real-time feedback,Only upon request,Privacy concerns,All departments equally
1/29/2024 14:40:37,,22-25,Malaysian,Male,Stress during work ,Quite a range of platforms can be used for emotional shifts,Can analyse and provide recommendations ,3,2,4,2,3,4,4,Stress,Real-time feedback,Weekly,Resistance from employees,All departments equally
1/29/2024 14:52:06,,26-29,Malaysian,Male,I think lack of work life balance would affect my emotional well-being due to heavy workload and lack of personal time,Most company would do survey form to understand employees' workplace emotion. But it may not be effective cause employees may also be hesitant to express their true feelings due to fear of repercussions.,I think we can implement real-time monitoring system to capture employees emotional state,3,4,5,3,3,5,5,Stress,Real-time feedback,Weekly,All of the above,Leadership/Management
1/29/2024 15:23:23,,30-34,Malaysian,Female,Working environment and workload will be the major factors that will be influencing each individual employees during the work. This is because a harmony workplace is one of the motivations that employees are willing to go to office to work happily.,"In current company of mine, there is no technology of tracing employees' emotional changes while working. They do not care about the emotional changes of each individual's employee.","Implement a emotional healthcare system, to trace employee emotional changes while work",1,5,5,1,1,5,5,All of the above,Real-time feedback,Weekly,Ethical considerations,Human Resources
1/29/2024 15:39:31,,26-29,Malaysian,Male,workstress and workload will be the major factors,my workplace do not provide such technology in understanding our emotions,a facial recognition system that trace emotional changes,1,5,5,1,1,5,5,Stress,Real-time feedback,Weekly,Ethical considerations,Human Resources
